nome;partido;uf;name_simplified
LUIZÃO GOULART;REPUBLICANOS;PR;luizao goulart
Lafayette de Andrada;REPUBLICANOS;MG;lafayette de andrada
Marcelo Squassoni;REPUBLICANOS;SP;marcelo squassoni
Marcos Pereira;REPUBLICANOS;SP;marcos pereira
Maria Rosas;REPUBLICANOS;SP;maria rosas
Milton Vieira;REPUBLICANOS;SP;milton vieira
Márcio Marinho;REPUBLICANOS;BA;marcio marinho
Ossesio Silva;REPUBLICANOS;PE;ossesio silva
Pr. Marco Feliciano;REPUBLICANOS;SP;pr marco feliciano
Roberto Alves;REPUBLICANOS;SP;roberto alves
Rosangela Gomes;REPUBLICANOS;RJ;rosangela gomes
Severino Pessoa;REPUBLICANOS;AL;severino pessoa
Silas Câmara;REPUBLICANOS;AM;silas camara
Silvio Costa Filho;REPUBLICANOS;PE;silvio costa filho
Tia Eron;REPUBLICANOS;BA;tia eron
VAVÁ MARTINS;REPUBLICANOS;PA;vava martins
Vinicius Carvalho;REPUBLICANOS;SP;vinicius carvalho
Celso Sabino;S.PART.;PA;celso sabino
Rodrigo Maia;S.PART.;RJ;rodrigo maia
AUREO RIBEIRO;SOLIDARIEDADE;RJ;aureo ribeiro
Augusto Coutinho;SOLIDARIEDADE;PE;augusto coutinho
Bosco Saraiva;SOLIDARIEDADE;AM;bosco saraiva
Dr. Leonardo;SOLIDARIEDADE;MT;dr leonardo
Dra. Vanda Milani;SOLIDARIEDADE;AC;dra vanda milani
Eli Borges;SOLIDARIEDADE;TO;eli borges
